M,N,p,k,mu,f,speed,demand,facility,ti_c,model,ti_s,status,ObjValue,Gap
100,40,5,5,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_5.lp,4.93101,Optimal,69562.2,0
100,40,6,6,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_6.lp,8.41604,Optimal,88065.9,0
100,40,7,7,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_7.lp,10.5157,Optimal,83077.2,-1.75161e-16
100,40,8,8,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_8.lp,13.0873,Optimal,73158.5,-3.97819e-16
100,40,9,9,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_9.lp,13.796,Optimal,64212.1,-3.39934e-16
100,40,10,10,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_10.lp,16.2636,Optimal,57274.4,0
100,40,11,11,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_11.lp,21.4117,Optimal,52443.9,0
100,40,12,12,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_12.lp,20.3665,Optimal,48483.4,0
100,40,13,13,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_13.lp,29.1003,Optimal,45244.8,0
100,40,14,14,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_14.lp,18.9478,Optimal,42602.3,0
100,40,15,15,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_15.lp,21.2787,Optimal,40549.3,-1.79435e-16
100,40,16,16,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_16.lp,28.07,Optimal,38833.3,-1.87364e-16
100,40,17,17,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_17.lp,29.7711,Optimal,37401.4,0
100,40,18,18,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_18.lp,24.3409,Optimal,36118.4,0
100,40,19,19,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_19.lp,39.3088,Optimal,35114.4,-2.07207e-16
100,40,20,20,72,0.006,40,Goldberg_Test_100_40_demand.ins,Goldberg_Test_100_40_facility.ins,0,Goldberg-model_100_40_20.lp,48.2871,Optimal,34305.2,0
100,50,5,5,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_5.lp,6.21058,Optimal,40509.5,0
100,50,6,6,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_6.lp,16.5127,Optimal,97011.3,-1.50002e-16
100,50,7,7,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_7.lp,15.8056,Optimal,102607,0
100,50,8,8,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_8.lp,22.9754,Optimal,91320,0
100,50,9,9,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_9.lp,28.2375,Optimal,78334.7,0
100,50,10,10,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_10.lp,36.938,Optimal,68054.9,0
100,50,11,11,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_11.lp,34.2646,Optimal,59951.1,0
100,50,12,12,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_12.lp,33.6569,Optimal,54235.6,0
100,50,13,13,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_13.lp,32.7501,Optimal,49819.6,0
100,50,14,14,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_14.lp,37.4686,Optimal,46233,0
100,50,15,15,72,0.006,40,Goldberg_Test_100_50_demand.ins,Goldberg_Test_100_50_facility.ins,0,Goldberg-model_100_50_15.lp,38.7403,Optimal,43469,-3.34765e-16
